지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10),안개 계속시간(hr)
98,동두천,2023-10-24,13.8,,0.7,84.3,,,5.6,
98,동두천,2023-10-25,14.9,,0.6,86.1,,,4.4,
98,동두천,2023-10-26,14.7,23.1,0.8,94,,,7.5,
98,동두천,2023-10-27,13.5,,0.7,81.4,,,2.9,
98,동두천,2023-10-28,11.4,,0.6,70.4,,,1.5,
98,동두천,2023-10-29,11.9,,0.6,73,,,0.1,
98,동두천,2023-10-30,12.7,,0.6,80.4,,,0.6,
98,동두천,2023-10-31,14.8,,1.2,81.8,,,7.4,
98,동두천,2023-11-01,18.2,1.2,2,88.4,,,8.1,
98,동두천,2023-11-02,19.9,,2.3,73.3,,,5,
98,동두천,2023-11-03,18,3,1.9,89,,,8.4,
98,동두천,2023-11-04,15.7,,0.9,80.1,,,6.1,
98,동두천,2023-11-05,16.5,12.1,1.3,90.3,,,8.8,
98,동두천,2023-11-06,12.5,54.8,4.5,88.3,,,7.6,
98,동두천,2023-11-07,4.2,,2.7,69.1,,,1.8,
98,동두천,2023-11-08,6.4,,0.7,60,,,1.8,
98,동두천,2023-11-09,9.4,7.7,1,83.3,,,6.5,
98,동두천,2023-11-10,2.4,,1.6,56,,,1.3,
98,동두천,2023-11-11,0.5,,1,45.9,,,0.6,
98,동두천,2023-11-12,-0.1,,0.9,53.9,,,0,
98,동두천,2023-11-13,0.3,,0.9,59.8,,,0.5,
98,동두천,2023-11-14,2.7,,0.5,65.9,,,3.5,
98,동두천,2023-11-15,4.6,,0.8,77,,,2.5,
98,동두천,2023-11-16,5,8.6,0.7,91.9,,,8.3,
98,동두천,2023-11-17,0.6,0.2,2.1,65.6,,,3.9,
98,동두천,2023-11-18,-0.5,,1.9,58.5,,,0,
98,동두천,2023-11-19,5.1,,1.4,72.5,,,4.4,
98,동두천,2023-11-20,4,,0.6,61.4,,,0,
98,동두천,2023-11-21,5.3,,0.7,61.8,,,0.3,
98,동두천,2023-11-22,8,,1.1,75.4,,,4.4,
98,동두천,2023-11-23,8.7,0.2,2.8,73.5,,,2.8,
98,동두천,2023-11-24,-2.1,,2.8,50.6,,,0.5,
98,동두천,2023-11-25,-2.9,,0.7,42.5,,,0.3,
98,동두천,2023-11-26,2.5,,0.6,40.1,,,7.9,
98,동두천,2023-11-27,5.1,5.3,1.6,88.8,,,8,
98,동두천,2023-11-28,0,,2.3,61.8,,,2.5,
98,동두천,2023-11-29,-3.6,0.3,1.1,70.4,,,5.4,
98,동두천,2023-11-30,-5.3,,1.6,44.4,,,0.1,
98,동두천,2023-12-01,-4.9,,0.9,56.1,,,0,
98,동두천,2023-12-02,0.3,0,1.8,64.5,,,5.5,
98,동두천,2023-12-03,-0.7,,0.7,56.8,,,0,
98,동두천,2023-12-04,1.3,,0.6,60.6,,,2.3,
98,동두천,2023-12-05,6.2,,0.5,59,,,1.4,
98,동두천,2023-12-06,5.4,2.7,1.3,82.5,,,5.3,
98,동두천,2023-12-07,5.4,,2.1,67.5,,,2,
98,동두천,2023-12-08,11.7,,3.4,70.5,,,5.6,
98,동두천,2023-12-09,13,,1.8,80.8,,,7.4,
98,동두천,2023-12-10,8.2,,1.2,71.4,,,4.9,
98,동두천,2023-12-11,6.1,15.3,1.6,90.1,,,7.8,
98,동두천,2023-12-12,3.4,0.1,1.1,82.6,,,3.5,
98,동두천,2023-12-13,5,,0.8,80.5,,,5.6,
98,동두천,2023-12-14,5.6,17.5,1.2,91.8,,,8.8,
98,동두천,2023-12-15,3.1,20,1.1,94.5,,,9.1,
98,동두천,2023-12-16,-5,2,4.7,72.3,,,5.6,
98,동두천,2023-12-17,-11,,1.9,54.5,,,0,
98,동두천,2023-12-18,-9.8,,0.8,49.8,,,7.5,
98,동두천,2023-12-19,-5.3,0.1,0.7,68.1,,,6.6,
98,동두천,2023-12-20,-8.6,0.1,2.5,62.9,,,2.9,
98,동두천,2023-12-21,-12.8,,2,52.9,,,0,
98,동두천,2023-12-22,-12.8,,1.5,44.4,,,0.6,
98,동두천,2023-12-23,-9.5,,0.7,57.3,,,2.8,
98,동두천,2023-12-24,-4.4,0,0.7,70.9,,,5.5,
98,동두천,2023-12-25,-2.5,0.8,0.5,86,,,5.1,
98,동두천,2023-12-26,-0.2,,1.1,78.3,,,1.4,
98,동두천,2023-12-27,-1.4,,0.6,74.4,,,1.1,
98,동두천,2023-12-28,-1.2,,0.4,76,,,2.9,
98,동두천,2023-12-29,0.1,,0.9,75.5,,,1.9,
98,동두천,2023-12-30,-0.6,11,0.3,93,,,7.1,
98,동두천,2023-12-31,1.3,7,0.8,93.9,,,3.5,
98,동두천,2024-01-01,1.5,,0.8,87.6,,,4.1,
98,동두천,2024-01-02,1.9,,0.7,81.9,,,8.6,
98,동두천,2024-01-03,0.7,0,0.7,83.5,,,5.6,
98,동두천,2024-01-04,-0.2,,1.1,79.4,,,3.6,
98,동두천,2024-01-05,3.9,0,1.7,79.3,,,2.5,
98,동두천,2024-01-06,-0.8,0.4,1,71.9,,,1.3,
98,동두천,2024-01-07,-5,,2.5,50,,,0,
98,동두천,2024-01-08,-6,,0.8,56.4,,,1,
98,동두천,2024-01-09,-2.2,1.6,0.3,87.3,,,6.4,
98,동두천,2024-01-10,-3.1,,0.4,89,,,3.3,
98,동두천,2024-01-11,0.4,,1.1,84.6,,,5.4,
98,동두천,2024-01-12,-0.6,,0.9,64.4,,,0,
98,동두천,2024-01-13,-2.2,,0.6,51.5,,,0,
98,동두천,2024-01-14,-2.8,4,0.8,83.9,,,2.8,
98,동두천,2024-01-15,-5.8,,0.9,59.1,,,1,
98,동두천,2024-01-16,-5.4,,0.7,62.4,,,3.3,
98,동두천,2024-01-17,-2.1,6.4,0.4,86.8,,,8.3,
98,동두천,2024-01-18,2.9,0.1,1.2,84,,,2.3,
98,동두천,2024-01-19,3.9,,1.3,69.8,,,5.4,
98,동두천,2024-01-20,1.6,0.6,1.3,76,,,8.8,
98,동두천,2024-01-21,0.9,0.1,1.5,78.3,,,4.6,
98,동두천,2024-01-22,-9.5,,3.2,64.8,,,7,
98,동두천,2024-01-23,-12.7,,2.3,51,,,2,
98,동두천,2024-01-24,-8.8,,1.8,41.6,,,0.1,
98,동두천,2024-01-25,-6.6,,0.9,44.3,,,0.3,
98,동두천,2024-01-26,-3.7,,0.8,57.4,,,0,
98,동두천,2024-01-27,-2.6,,1,71.5,,,1.1,
98,동두천,2024-01-28,-2.6,,0.8,63,,,2.6,
98,동두천,2024-01-29,-2.6,,0.7,65.8,,,1.1,
98,동두천,2024-01-30,-1.1,,0.6,60.6,,,2.6,
98,동두천,2024-01-31,2.6,,0.9,58.6,,,2.3,
98,동두천,2024-02-01,1.4,,1.1,66.5,,,5.5,
98,동두천,2024-02-02,2,,0.8,62,,,6.3,
98,동두천,2024-02-03,2.6,,0.8,67.8,,,7.6,
98,동두천,2024-02-04,3.9,,1.1,67.4,,,6.5,
98,동두천,2024-02-05,1.6,3.5,1.4,78.6,,,9.9,
98,동두천,2024-02-06,0,,1.1,85.9,,,9.1,
98,동두천,2024-02-07,-0.3,,0.8,78,,,6.5,
98,동두천,2024-02-08,-1,,0.7,69.1,,,2.3,
98,동두천,2024-02-09,-0.6,,1.2,70.5,,,2,
98,동두천,2024-02-10,0,,1,72.9,,,2.1,
98,동두천,2024-02-11,-1.1,,1.2,75.4,,,1.6,
98,동두천,2024-02-12,1.4,,1.1,65.3,,,0,
98,동두천,2024-02-13,7.8,,1.8,71.4,,,3.3,
98,동두천,2024-02-14,12.8,,1.8,76.1,,,4.4,
98,동두천,2024-02-15,3.6,10.5,1.6,94.3,,,8.5,
98,동두천,2024-02-16,0.3,,0.9,81.9,,,2.4,
98,동두천,2024-02-17,2,,0.9,79.1,,,0.3,
98,동두천,2024-02-18,4.2,12.3,0.5,88.6,,,6.6,
98,동두천,2024-02-19,8.6,10.6,1,98.3,,,8.6,
98,동두천,2024-02-20,3.5,1.5,1.2,87,,,10,
98,동두천,2024-02-21,0.5,11.5,1.3,93.8,,,10,
98,동두천,2024-02-22,-0.5,4.8,1,85.3,,,10,
98,동두천,2024-02-23,0.8,0.3,1.2,68,,,6.6,
98,동두천,2024-02-24,1,1.7,1.1,68.4,,,8,
98,동두천,2024-02-25,1.7,1.5,0.8,84.5,,,6.3,
98,동두천,2024-02-26,2.3,,0.8,69.5,,,2,
98,동두천,2024-02-27,3.7,,1.3,55.4,,,6.8,
98,동두천,2024-02-28,4.7,,1,66.6,,,8.4,
98,동두천,2024-02-29,3.6,,1.3,62.4,,,7.8,
98,동두천,2024-03-01,-4.6,,3.4,28.3,,,0,
98,동두천,2024-03-02,-1.3,0,2.9,55.5,,,4.9,
98,동두천,2024-03-03,3.1,0.1,2,60.4,,,1,
98,동두천,2024-03-04,3.2,,0.8,41.9,,,4.1,
98,동두천,2024-03-05,5.6,,1.1,45.8,,,8.8,
98,동두천,2024-03-06,4.7,,1,60.9,,,6,
98,동두천,2024-03-07,2.7,0.8,0.9,67.8,,,5.1,
98,동두천,2024-03-08,1.1,,2.4,41.9,,,0.1,
98,동두천,2024-03-09,0.8,,1.2,43.4,,,0,
98,동두천,2024-03-10,2.7,,1.3,54.3,,,0,
98,동두천,2024-03-11,4.5,,0.9,64.1,,,7.9,
98,동두천,2024-03-12,5.9,0.5,0.9,74.3,,,4.3,
98,동두천,2024-03-13,5.6,,2.1,53.4,,,0,
98,동두천,2024-03-14,7,,1.5,53.8,,,0,
98,동두천,2024-03-15,8,,1.4,67.8,,,0,
98,동두천,2024-03-16,9.5,,1.3,54.6,,,3,
98,동두천,2024-03-17,8.6,0,2.9,37.5,,,5.1,
98,동두천,2024-03-18,6.2,,1.5,16.5,,,2.3,
98,동두천,2024-03-19,5.9,0.7,3.3,55,,,8.4,
98,동두천,2024-03-20,3.7,,2.6,42.9,,,2.1,
98,동두천,2024-03-21,3.9,,1.3,42.5,,,1.3,
98,동두천,2024-03-22,8.6,17.5,1.7,61.3,,,7.8,
98,동두천,2024-03-23,11.5,0.3,1.3,72.4,,,5.9,
98,동두천,2024-03-24,14.1,,0.9,48.8,,,2.9,
98,동두천,2024-03-25,9.1,3.3,1.1,71.1,,,9.8,
98,동두천,2024-03-26,5.6,10.3,1.2,84.9,,,6.4,
98,동두천,2024-03-27,9,,1.2,78.1,,,6.3,
98,동두천,2024-03-28,9.4,2.3,1.3,91.1,,,7.1,
98,동두천,2024-03-29,6.9,2.2,2.2,75.3,,,5.1,
98,동두천,2024-03-30,6.7,0,1.3,63.6,,,2.8,
98,동두천,2024-03-31,8.6,,0.9,41.5,,,3.4,
98,동두천,2024-04-01,10.8,,1.4,32.4,,,0.6,
98,동두천,2024-04-02,14,,1.1,33.9,,,3.3,
98,동두천,2024-04-03,14.6,,1,46.3,,,8.5,
98,동두천,2024-04-04,15,,1.8,38.9,,,7,
98,동두천,2024-04-05,13.3,0,1.7,45.9,,,4.4,
98,동두천,2024-04-06,11.7,,1.4,52.4,,,4.9,
98,동두천,2024-04-07,13.6,,1.3,35,,,1.6,
98,동두천,2024-04-08,15.2,,1,46.1,,,7.5,
98,동두천,2024-04-09,14.1,,1.3,26.9,,,0.8,
98,동두천,2024-04-10,13.1,,1.8,60.5,,,6,
98,동두천,2024-04-11,13.5,0.2,0.6,76.6,,,6,
98,동두천,2024-04-12,15.9,,1.3,64.1,,,0,
98,동두천,2024-04-13,17.8,,1.1,53.6,,,0,
98,동두천,2024-04-14,19.5,,1.2,50.6,,,1.9,
98,동두천,2024-04-15,15.4,13,2.2,80.3,,,5.9,
98,동두천,2024-04-16,12.4,0.6,1.6,93.9,,,4.5,
98,동두천,2024-04-17,14.1,,1.1,74.4,,,3,
98,동두천,2024-04-18,16.7,,1.3,55.4,,,0,
98,동두천,2024-04-19,16.8,,1.2,57.6,,,3.8,
98,동두천,2024-04-20,13.6,2.1,1,85.8,,,8.9,
98,동두천,2024-04-21,16.5,,1.4,69.6,,,8.8,
98,동두천,2024-04-22,17.1,,1,58.4,,,6.9,
98,동두천,2024-04-23,15.9,0.3,1.3,65.5,,,7.5,
98,동두천,2024-04-24,12.7,6,1.5,87.8,,,7.8,
98,동두천,2024-04-25,13.8,,1.2,83.4,,,3.8,
98,동두천,2024-04-26,16.7,,1,62.4,,,2.8,
98,동두천,2024-04-27,17.3,,1.1,59.5,,,0,
98,동두천,2024-04-28,19.3,,1,57.9,,,5.3,
98,동두천,2024-04-29,19.5,,1.2,47,,,5.1,
98,동두천,2024-04-30,17.2,,1.1,70.8,,,7.9,
98,동두천,2024-05-01,16.6,,1,53.3,,,3.1,
98,동두천,2024-05-02,17.1,,1.4,54.4,,,0,
98,동두천,2024-05-03,18.6,,0.8,53.3,,,0,
98,동두천,2024-05-04,19.6,,1,54.9,,,4,
98,동두천,2024-05-05,16.9,48.9,1.5,94.6,,,9.9,
98,동두천,2024-05-06,13.3,13.3,1.9,99.8,,,9.4,
98,동두천,2024-05-07,12.9,3.1,1,85.4,,,9.3,
98,동두천,2024-05-08,14.1,,1.1,67.6,,,1,
98,동두천,2024-05-09,15.2,,1.8,71.5,,,0.6,
98,동두천,2024-05-10,16.7,,1.7,58,,,3.1,
98,동두천,2024-05-11,16.3,29.2,2.5,87.3,,,9.4,
98,동두천,2024-05-12,16.3,,1.4,69.9,,,0.1,
98,동두천,2024-05-13,16.9,,1.2,59.4,,,0.1,
98,동두천,2024-05-14,17.3,,1.6,51.4,,,0,
98,동두천,2024-05-15,10.1,35.9,1.2,88,,,7.3,
98,동두천,2024-05-16,12.5,,1.7,65.3,,,1.8,
98,동두천,2024-05-17,16.3,,1.2,76,,,2.1,
98,동두천,2024-05-18,19.5,,1.3,79.1,,,0.5,
98,동두천,2024-05-19,20.1,,1.2,73.4,,,0.8,
98,동두천,2024-05-20,18.3,0.1,1.1,87.4,,,7.4,
98,동두천,2024-05-21,20.7,,0.9,74.4,,,2.3,
98,동두천,2024-05-22,19.4,,1.2,79.5,,,3.1,
98,동두천,2024-05-23,19,,1.3,81,,,1.6,
98,동두천,2024-05-24,18.1,,0.7,91,,,4.9,
98,동두천,2024-05-25,19.4,0.1,0.9,79.8,,,8.3,
98,동두천,2024-05-26,19,10,1.9,84.5,,,7.8,
98,동두천,2024-05-27,17.5,,1.9,72.3,,,4.5,
98,동두천,2024-05-28,18.5,,1,63.3,,,2.1,
98,동두천,2024-05-29,19.6,,1.2,63,,,2.1,
98,동두천,2024-05-30,18.5,,0.5,65,,,9.1,
98,동두천,2024-05-31,19.2,,1.7,68.5,,,3.6,
98,동두천,2024-06-01,20.1,0,1.3,64.4,,,5.1,
98,동두천,2024-06-02,18.8,0,1.1,67.3,,,2.9,
98,동두천,2024-06-03,20,,0.9,53.6,,,1.3,
98,동두천,2024-06-04,20.6,,1,50.9,,,0,
98,동두천,2024-06-05,22,,0.9,64.4,,,4.3,
98,동두천,2024-06-06,22.8,0,0.9,64.3,,,3.3,
98,동두천,2024-06-07,21.6,0,0.7,70,,,7.5,
98,동두천,2024-06-08,18.3,10.9,0.8,94.8,,,7.5,
98,동두천,2024-06-09,21,,1,82.3,,,3.9,
98,동두천,2024-06-10,23.2,,1.2,80.1,,,0.9,
98,동두천,2024-06-11,24.6,,1.2,76.9,,,4.4,
98,동두천,2024-06-12,23.1,,1.1,74.6,,,4.1,
98,동두천,2024-06-13,24.4,,1,60.3,,,0.5,
98,동두천,2024-06-14,24.5,,1.2,64.3,,,5.9,
98,동두천,2024-06-15,22.7,0.7,0.9,83.6,,,6.5,
98,동두천,2024-06-16,22.8,,1.4,67.1,,,0.4,
98,동두천,2024-06-17,22.9,,1.5,56.6,,,2.8,
98,동두천,2024-06-18,24.3,,1.2,66.6,,,0,
98,동두천,2024-06-19,26.3,,0.8,60.1,,,1.3,
98,동두천,2024-06-20,27.3,,1,51.9,,,2.1,
98,동두천,2024-06-21,25.8,,1.1,61.9,,,6.9,
98,동두천,2024-06-22,22.7,15.6,0.5,89.3,,,9.5,
98,동두천,2024-06-23,24.1,4.7,1.5,86.6,,,7.8,
98,동두천,2024-06-24,23.3,0.1,1.6,81.5,,,4,
98,동두천,2024-06-25,21.6,0,1.5,74.9,,,3.9,
98,동두천,2024-06-26,23.7,,0.8,67.3,,,0.5,
98,동두천,2024-06-27,24.5,,0.8,65.8,,,2.6,
98,동두천,2024-06-28,25,,1.1,63.3,,,1.9,
98,동두천,2024-06-29,25.2,36.7,1.2,74.8,,,5.9,
98,동두천,2024-06-30,23.2,28,2.1,96.8,,,7.4,
98,동두천,2024-07-01,24.6,,0.9,83,,,6,
98,동두천,2024-07-02,22.5,51.8,1.1,95.3,,,10,
98,동두천,2024-07-03,23.6,2.1,3,89.8,,,9.3,
98,동두천,2024-07-04,24.9,18.8,1.6,89.8,,,7.6,
98,동두천,2024-07-05,23.2,3.2,2.7,89.1,,,7.4,
105,강릉,2023-06-01,24.3,,1.8,56.9,,,7.1,
105,강릉,2023-06-02,22.8,,1.7,65.1,,,5.6,
105,강릉,2023-06-03,24.4,,2,45.5,,,1.9,
105,강릉,2023-06-04,25.9,,3,34.8,,,4,
105,강릉,2023-06-05,26.3,,3.2,40.4,,,4.1,
105,강릉,2023-06-06,25.1,,2.7,46.8,,,4.4,
105,강릉,2023-06-07,25.9,,2.8,49.4,,,4.4,
105,강릉,2023-06-08,26.3,,2.3,45.8,,,7.7,
105,강릉,2023-06-09,21.9,33.8,1.9,62.9,,,3.9,
105,강릉,2023-06-10,20.8,8.8,1.9,73.9,,,9,
105,강릉,2023-06-11,20.1,4.5,1.4,83.3,,,6,
105,강릉,2023-06-12,20.9,,1.4,80.4,,,6.1,
105,강릉,2023-06-13,21.4,0,1.6,78.6,,,6.3,
105,강릉,2023-06-14,19.7,0,1.8,77,,,6.5,
105,강릉,2023-06-15,20.9,0,1.6,77.4,,,5.5,
105,강릉,2023-06-16,26.1,,1.3,61,,,2.1,
